event_id,customer_id,event_date,event_type,feature_used,session_duration_sec,pages_viewed
1,1,2023-11-04,export,team_mgmt,2246,15
2,1,2024-01-14,support_ticket,billing,147,23
3,1,2024-04-25,support_ticket,reports,1375,29
4,1,2023-12-17,upgrade_inquiry,dashboard,2355,7
5,2,2022-02-04,export,team_mgmt,3398,26
6,2,2023-09-18,page_view,dashboard,3517,22
7,2,2023-03-20,login,analytics,2409,9
8,2,2022-05-28,feature_use,billing,3348,4
9,3,2023-12-09,page_view,billing,3185,26
10,3,2024-02-27,upgrade_inquiry,billing,2209,6
11,4,2024-02-26,upgrade_inquiry,api,563,14
12,4,2023-04-26,export,billing,1596,19
13,4,2023-09-17,upgrade_inquiry,dashboard,1786,29
14,4,2023-01-24,export,,2646,6
15,5,2023-10-11,feature_use,integrations,1455,27
16,5,2023-11-14,api_call,api,116,30
17,5,2024-02-15,support_ticket,analytics,2395,4
18,5,2024-03-25,export,team_mgmt,846,23
19,5,2024-02-16,upgrade_inquiry,settings,802,18
20,5,2024-03-31,api_call,analytics,825,7
21,5,2024-06-06,support_ticket,,2851,24
22,5,2024-02-20,upgrade_inquiry,reports,999,24
23,6,2023-02-08,upgrade_inquiry,,367,21
24,6,2023-02-05,login,integrations,962,26
25,6,2023-03-26,upgrade_inquiry,billing,3598,22
26,6,2023-02-14,feature_use,integrations,389,9
27,6,2023-02-24,feature_use,settings,338,21
28,7,2024-02-04,page_view,,1992,25
29,7,2024-03-10,feature_use,integrations,3059,17
30,7,2024-03-19,export,dashboard,3452,17
31,7,2024-01-25,feature_use,api,712,24
32,8,2023-01-14,support_ticket,settings,2131,10
33,8,2023-07-22,export,billing,464,20
34,8,2024-04-05,upgrade_inquiry,,406,14
35,8,2023-08-08,upgrade_inquiry,billing,1953,4
36,8,2022-12-25,export,settings,583,22
37,8,2023-11-03,upgrade_inquiry,dashboard,65,23
38,8,2023-05-29,upgrade_inquiry,settings,677,5
39,8,2023-08-28,export,reports,2047,2
40,8,2023-03-27,upgrade_inquiry,integrations,3494,21
41,9,2023-07-08,feature_use,settings,148,8
42,9,2022-11-28,export,billing,3031,22
43,9,2024-01-26,upgrade_inquiry,api,1365,23
44,9,2024-07-14,login,team_mgmt,919,8
45,9,2023-06-07,support_ticket,,476,8
46,9,2023-11-21,upgrade_inquiry,api,3118,6
47,10,2024-02-08,api_call,team_mgmt,2529,14
48,10,2023-12-09,support_ticket,settings,1659,6
49,10,2022-08-13,login,analytics,1855,1
50,10,2024-03-01,login,analytics,677,2
51,10,2023-10-30,feature_use,reports,3377,5
52,10,2023-02-20,login,team_mgmt,3444,25
53,10,2024-03-24,page_view,analytics,1170,24
54,10,2024-03-03,api_call,billing,2740,27
55,10,2022-12-26,page_view,api,3397,19
56,10,2022-09-29,login,integrations,2969,11
57,10,2022-07-05,api_call,reports,434,8
58,10,2023-02-23,support_ticket,analytics,2224,30
59,10,2024-04-26,export,billing,115,19
60,10,2022-10-04,export,reports,3453,27
61,10,2023-11-12,support_ticket,,2403,30
62,11,2024-04-01,api_call,settings,3016,20
63,11,2023-12-05,feature_use,billing,1212,15
64,11,2024-06-29,feature_use,dashboard,1188,16
65,11,2023-08-31,export,settings,519,22
66,11,2023-06-19,page_view,billing,1692,8
67,11,2024-02-10,support_ticket,dashboard,1081,27
68,11,2023-11-07,support_ticket,reports,3580,10
69,11,2023-09-26,support_ticket,settings,1727,23
70,11,2024-06-08,support_ticket,team_mgmt,1272,17
71,11,2023-05-29,export,settings,3032,11
72,11,2023-07-15,support_ticket,api,2885,29
73,11,2024-01-11,export,,2192,22
74,11,2024-06-06,page_view,settings,1557,11
75,11,2024-07-10,login,,2505,8
76,11,2024-07-26,login,settings,980,3
77,11,2023-12-24,upgrade_inquiry,settings,640,3
78,12,2022-08-14,api_call,team_mgmt,1398,9
79,12,2022-09-06,feature_use,integrations,2002,16
80,13,2024-04-05,support_ticket,api,673,9
81,13,2023-12-01,feature_use,billing,3128,26
82,13,2023-10-03,api_call,integrations,3494,17
83,13,2024-01-18,support_ticket,reports,767,10
84,14,2024-04-26,feature_use,dashboard,1825,10
85,14,2023-10-11,upgrade_inquiry,team_mgmt,1420,7
86,14,2024-05-07,login,dashboard,3510,14
87,14,2024-01-04,feature_use,integrations,2445,30
88,15,2024-07-31,feature_use,billing,657,4
89,15,2024-04-15,upgrade_inquiry,billing,2173,7
90,15,2025-03-08,page_view,billing,1464,22
91,15,2025-01-19,export,api,1705,8
92,15,2024-07-05,login,,2477,9
93,15,2025-05-29,export,billing,414,24
94,15,2024-05-16,upgrade_inquiry,,1424,25
95,15,2024-12-30,upgrade_inquiry,,2913,22
96,15,2024-06-01,upgrade_inquiry,reports,413,26
97,15,2025-02-17,upgrade_inquiry,settings,747,18
98,15,2024-06-15,page_view,,968,10
99,16,2024-04-01,feature_use,billing,1395,7
100,16,2024-05-02,feature_use,integrations,1167,19
101,16,2024-06-08,api_call,reports,3153,20
102,16,2024-06-05,feature_use,dashboard,1112,2
103,16,2024-07-06,api_call,integrations,763,10
104,16,2024-03-21,support_ticket,integrations,3396,21
105,16,2024-02-21,export,dashboard,2515,21
106,16,2024-03-04,api_call,team_mgmt,926,4
107,16,2024-05-19,feature_use,integrations,552,10
108,16,2024-07-27,feature_use,dashboard,2698,17
109,16,2024-07-29,export,team_mgmt,3138,6
110,16,2024-05-01,support_ticket,team_mgmt,2064,8
111,16,2024-07-08,api_call,dashboard,1995,4
112,16,2024-03-18,login,api,1503,16
113,16,2024-07-20,export,,2413,14
114,16,2024-07-15,login,dashboard,605,10
115,16,2024-03-12,upgrade_inquiry,,3429,27
116,16,2024-07-30,feature_use,team_mgmt,3139,6
117,17,2022-03-01,page_view,analytics,2341,19
118,17,2023-10-27,export,reports,1461,5
119,17,2024-05-06,upgrade_inquiry,integrations,354,3
120,18,2024-04-13,support_ticket,reports,1750,13
121,18,2023-09-02,export,dashboard,441,29
122,18,2024-03-01,login,dashboard,1530,9
123,18,2023-07-01,login,api,1916,15
124,18,2023-10-05,login,reports,2730,28
125,18,2023-01-08,feature_use,reports,1598,5
126,18,2023-08-14,export,team_mgmt,1511,3
127,18,2022-09-26,login,dashboard,888,13
128,18,2023-10-26,export,,1433,16
129,18,2023-07-17,feature_use,team_mgmt,2638,8
130,18,2024-03-15,support_ticket,team_mgmt,2621,27
131,18,2022-12-03,api_call,,1108,26
132,18,2023-09-10,upgrade_inquiry,reports,3551,13
133,18,2023-04-21,export,dashboard,727,4
134,18,2023-02-26,upgrade_inquiry,reports,2200,6
135,18,2023-03-16,page_view,integrations,3500,16
136,18,2023-01-16,support_ticket,reports,387,5
137,18,2024-05-03,api_call,,133,24
138,18,2023-03-30,export,reports,220,5
139,18,2023-09-25,feature_use,integrations,1809,1
140,19,2023-12-19,upgrade_inquiry,api,2775,12
141,19,2023-08-03,export,api,2363,6
142,19,2024-01-20,support_ticket,analytics,1383,27
143,20,2022-04-30,page_view,reports,1221,12
144,20,2022-07-10,upgrade_inquiry,dashboard,850,13
145,20,2022-07-06,feature_use,billing,3068,30
146,20,2022-06-22,feature_use,integrations,1811,6
147,20,2022-06-15,page_view,analytics,1855,28
148,20,2022-07-18,api_call,api,690,14
149,20,2022-10-06,page_view,analytics,307,16
150,20,2022-06-27,api_call,team_mgmt,2413,1
151,20,2022-06-21,export,billing,3083,11
152,20,2022-05-23,export,api,1210,24
153,21,2024-05-27,page_view,settings,608,12
154,21,2023-01-08,upgrade_inquiry,team_mgmt,2185,2
155,21,2023-04-07,support_ticket,integrations,1980,3
156,21,2023-12-11,export,analytics,168,23
157,21,2024-01-10,feature_use,settings,3488,25
158,21,2024-06-18,upgrade_inquiry,team_mgmt,914,3
159,21,2022-07-08,page_view,dashboard,508,12
160,21,2023-04-12,export,billing,965,29
161,21,2023-10-19,upgrade_inquiry,billing,763,30
162,21,2022-06-21,login,billing,1151,26
163,21,2022-09-22,support_ticket,dashboard,387,12
164,21,2022-04-11,api_call,settings,880,27
165,21,2024-01-02,page_view,dashboard,2887,17
166,21,2023-05-18,export,,114,17
167,21,2024-06-19,upgrade_inquiry,integrations,1391,17
168,21,2024-03-23,api_call,billing,1447,17
169,21,2024-01-08,feature_use,analytics,1073,11
170,21,2022-12-13,api_call,,1841,12
171,21,2024-05-10,upgrade_inquiry,team_mgmt,2357,19
172,21,2024-05-17,export,team_mgmt,1069,5
173,21,2023-03-11,api_call,settings,668,21
174,21,2023-11-03,api_call,dashboard,3000,25
175,21,2023-01-23,feature_use,analytics,2176,6
176,21,2024-06-12,page_view,billing,1658,17
177,21,2022-12-05,upgrade_inquiry,team_mgmt,2757,17
178,21,2023-02-17,login,team_mgmt,2145,28
179,21,2024-01-04,export,analytics,3290,16
180,22,2024-06-04,upgrade_inquiry,reports,1371,17
181,22,2023-05-15,upgrade_inquiry,analytics,1803,17
182,22,2024-04-22,export,settings,1533,4
183,22,2023-07-07,export,integrations,2787,29
184,22,2024-07-24,feature_use,settings,1695,16
185,22,2023-06-18,api_call,api,1906,11
186,22,2023-08-08,feature_use,team_mgmt,437,1
187,22,2023-05-17,api_call,api,2987,26
188,22,2024-03-26,export,billing,3562,20
189,23,2024-04-23,export,,3475,16
190,23,2023-09-05,page_view,dashboard,1505,7
191,23,2024-04-30,feature_use,dashboard,2309,23
192,23,2023-07-13,page_view,reports,911,22
193,23,2024-01-27,login,reports,1186,10
194,23,2024-04-26,page_view,settings,3242,4
195,24,2024-03-13,export,settings,295,22
196,24,2023-06-28,feature_use,analytics,2024,11
197,24,2024-02-25,login,analytics,2332,25
198,24,2024-06-01,feature_use,api,2909,24
199,24,2024-06-28,export,,2427,9
200,25,2023-09-15,export,integrations,143,25
201,25,2023-12-12,api_call,team_mgmt,119,20
202,25,2024-03-29,login,,1088,14
203,25,2024-03-28,upgrade_inquiry,dashboard,2265,15
204,26,2024-06-15,login,analytics,3289,19
205,26,2024-07-25,feature_use,team_mgmt,1418,20
206,26,2024-02-16,page_view,settings,1699,30
207,26,2024-01-16,login,dashboard,71,13
208,26,2024-06-15,upgrade_inquiry,team_mgmt,1932,10
209,26,2024-01-17,login,team_mgmt,230,3
210,27,2024-04-19,page_view,reports,2233,1
211,27,2024-04-09,login,dashboard,2162,30
212,27,2024-03-20,export,integrations,3325,15
213,27,2023-10-19,login,team_mgmt,260,27
214,27,2023-10-09,login,dashboard,618,25
215,28,2024-07-31,page_view,,3399,7
216,28,2024-07-20,login,billing,397,28
217,28,2024-05-07,login,reports,3123,30
218,28,2024-07-11,login,analytics,2324,7
219,28,2024-06-06,api_call,reports,26,26
220,28,2024-06-20,page_view,analytics,2528,17
221,28,2024-07-03,export,reports,167,27
222,28,2024-05-17,support_ticket,settings,330,3
223,29,2022-08-02,api_call,api,1491,4
