transaction_id,customer_id,transaction_date,amount,product_category,payment_method,is_refund,discount_pct
1,1,2024-03-13,479.36,one_time_purchase,wire_transfer,0,5
2,2,2023-04-04,38.15,upgrade,ach,0,0
3,2,2023-03-07,97.49,subscription,credit_card,0,20
4,2,2023-01-31,260.56,training,credit_card,0,5
5,3,2023-12-12,214.1,subscription,debit_card,0,0
6,4,2023-12-16,85.71,addon,wire_transfer,0,5
7,5,2024-04-15,322.63,training,ach,0,25
8,5,2024-02-15,103.65,subscription,ach,0,10
9,5,2024-04-29,18.52,subscription,credit_card,0,0
10,5,2023-11-29,68.86,addon,debit_card,0,0
11,5,2023-11-28,430.6,professional_services,credit_card,0,15
12,5,2023-11-06,73.95,one_time_purchase,wire_transfer,0,0
13,5,2024-04-14,422.53,one_time_purchase,credit_card,0,10
14,5,2024-05-23,295.78,subscription,debit_card,0,0
15,5,2024-02-12,68.81,addon,wire_transfer,0,0
16,5,2024-07-02,46.54,upgrade,debit_card,0,0
17,5,2023-10-23,179.73,upgrade,ach,0,15
18,5,2024-07-11,747.35,professional_services,wire_transfer,0,25
19,5,2024-01-11,118.37,upgrade,paypal,0,10
20,5,2024-07-18,1623.03,professional_services,credit_card,0,15
21,8,2022-12-13,281.84,subscription,wire_transfer,0,5
22,8,2023-11-21,261.85,subscription,ach,0,0
23,8,2024-07-01,159.63,subscription,wire_transfer,0,5
24,8,2023-01-17,88.83,addon,credit_card,0,5
25,8,2022-12-23,85.39,subscription,debit_card,0,0
26,8,2023-06-17,73.98,addon,debit_card,0,0
27,8,2024-04-08,283.97,subscription,paypal,0,0
28,8,2023-01-31,1236.48,professional_services,ach,0,0
29,8,2024-03-24,613.97,professional_services,wire_transfer,0,0
30,8,2024-04-22,111.22,subscription,credit_card,0,0
31,8,2023-01-15,235.94,subscription,credit_card,0,15
32,8,2024-06-07,41.39,addon,wire_transfer,0,0
33,9,2023-12-21,187.92,subscription,debit_card,0,10
34,9,2023-09-15,10.44,addon,debit_card,0,0
35,9,2023-11-25,445.4,one_time_purchase,credit_card,0,0
36,9,2023-06-11,24.56,upgrade,paypal,0,0
37,9,2022-11-12,184.09,subscription,debit_card,0,5
38,9,2024-06-10,200.04,subscription,paypal,0,0
39,10,2023-01-02,33.46,addon,paypal,0,25
40,10,2024-03-21,268.07,subscription,ach,0,25
41,10,2022-09-05,270.22,subscription,paypal,0,20
42,10,2022-08-10,49.62,subscription,paypal,0,0
43,10,2024-06-19,16.54,addon,credit_card,0,0
44,10,2023-01-17,330.96,one_time_purchase,credit_card,0,0
45,10,2023-10-14,61.36,upgrade,credit_card,0,5
46,10,2022-07-22,186.21,subscription,wire_transfer,0,15
47,10,2023-08-19,69.45,subscription,ach,0,15
48,10,2022-07-14,34.03,one_time_purchase,ach,0,0
49,10,2024-07-02,1853.13,professional_services,credit_card,0,0
50,10,2023-05-06,317.33,one_time_purchase,credit_card,0,0
51,10,2023-12-09,218.45,subscription,wire_transfer,0,25
52,10,2023-07-30,58.42,addon,wire_transfer,0,0
53,10,2023-09-12,462.84,one_time_purchase,paypal,0,0
54,11,2023-09-23,124.03,subscription,paypal,0,10
55,11,2024-03-27,198.72,subscription,credit_card,0,0
56,11,2023-09-29,35.17,addon,wire_transfer,0,0
57,11,2023-12-17,-12.55,subscription,wire_transfer,1,10
58,11,2024-03-16,51.39,upgrade,paypal,0,0
59,11,2024-07-27,169.73,one_time_purchase,paypal,0,0
60,11,2024-05-21,59.31,upgrade,debit_card,0,0
61,12,2022-06-23,21.12,subscription,ach,0,20
62,13,2023-11-03,496.39,training,paypal,0,0
63,13,2024-07-05,307.28,one_time_purchase,ach,0,0
64,14,2024-01-05,174.83,subscription,credit_card,0,15
65,14,2024-07-30,-31.61,addon,paypal,1,10
66,14,2024-04-01,811.96,professional_services,ach,0,5
67,15,2024-09-10,-1832.56,professional_services,paypal,1,0
68,15,2025-01-01,375.18,one_time_purchase,debit_card,0,10
69,15,2024-10-25,16.19,upgrade,credit_card,0,15
70,16,2024-07-09,371.3,one_time_purchase,ach,0,0
71,16,2024-02-26,335.41,one_time_purchase,paypal,0,10
72,16,2024-04-02,65.68,upgrade,paypal,0,0
73,16,2024-04-12,75.33,addon,wire_transfer,0,0
74,16,2024-05-27,111.72,subscription,wire_transfer,0,10
75,16,2024-07-16,237.24,subscription,ach,0,0
76,16,2024-04-15,87.45,upgrade,ach,0,0
77,16,2024-04-19,74.9,upgrade,wire_transfer,0,15
78,16,2024-06-21,309.21,training,debit_card,0,0
79,16,2024-06-08,44.9,subscription,wire_transfer,0,25
80,16,2024-03-09,19.84,subscription,credit_card,0,0
81,16,2024-03-17,54.76,addon,paypal,0,15
82,16,2024-03-16,57.35,addon,paypal,0,0
83,17,2022-05-12,70.36,training,wire_transfer,0,10
84,17,2023-03-16,374.53,one_time_purchase,debit_card,0,20
85,18,2022-11-25,12.24,subscription,wire_transfer,0,20
86,18,2023-07-26,52.81,addon,debit_card,0,0
87,18,2023-07-02,9.54,addon,ach,0,25
88,18,2024-02-03,91.07,upgrade,debit_card,0,10
89,18,2023-01-25,283.12,subscription,wire_transfer,0,0
90,18,2024-02-14,264.2,subscription,paypal,0,10
91,18,2023-02-17,89.13,subscription,paypal,0,0
92,18,2023-05-24,389.06,training,debit_card,0,5
93,18,2022-12-08,252.41,subscription,ach,0,0
94,18,2022-10-11,292.92,training,wire_transfer,0,0
95,18,2022-09-27,91.44,subscription,wire_transfer,0,15
96,18,2024-02-16,141.16,subscription,wire_transfer,0,0
97,18,2023-11-17,13.17,addon,credit_card,0,5
98,19,2023-05-08,156.54,subscription,credit_card,0,25
99,19,2024-01-09,172.88,professional_services,paypal,0,25
100,19,2023-09-03,135.61,upgrade,credit_card,0,0
101,19,2023-10-30,118.72,subscription,paypal,0,0
102,19,2024-06-16,245.21,subscription,debit_card,0,5
103,19,2023-09-12,61.58,one_time_purchase,credit_card,0,0
104,19,2024-05-10,171.18,subscription,credit_card,0,0
105,19,2024-04-24,313.42,one_time_purchase,paypal,0,0
106,20,2022-06-26,176.26,upgrade,wire_transfer,0,20
107,20,2022-09-11,148.99,subscription,paypal,0,0
108,20,2022-07-27,196.43,training,debit_card,0,0
109,20,2022-08-07,347.28,training,debit_card,0,15
110,20,2022-08-12,174.16,upgrade,credit_card,0,0
111,20,2022-06-24,72.16,subscription,credit_card,0,15
112,21,2023-05-14,137.72,subscription,paypal,0,0
113,21,2023-07-29,182.12,one_time_purchase,wire_transfer,0,5
114,21,2023-05-12,263.05,subscription,ach,0,0
115,21,2023-12-04,-184.83,subscription,wire_transfer,1,0
